,id,date,confirmed,deaths,recovered,tests,vaccines,people_vaccinated,people_fully_vaccinated,hosp,icu,vent,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,government_response_index,stringency_index,containment_health_index,economic_support_index,administrative_area_level,administrative_area_level_1,administrative_area_level_2,administrative_area_level_3,latitude,longitude,population,iso_alpha_3,iso_alpha_2,iso_numeric,iso_currency,key_local,key_google_mobility,key_apple_mobility,key_jhu_csse,key_nuts,key_gadm
250992,59a13ceb,2021-05-25,33180250.0,590635.0,,447812655.0,308489320.0,171069780.0,143919341.0,22087.0,6311.0,,-2.0,-2.0,-1.0,-4.0,-1.0,-1.0,-2.0,3.0,2.0,3.0,1.0,-3.0,5.0,-2.0,60.42,56.02,61.9,50.0,1,United States,,,38.0,-97.0,326687501.0,USA,US,840.0,USD,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,,USA
250993,59a13ceb,2021-05-26,33203636.0,591601.0,,448864420.0,309934797.0,171734539.0,144764763.0,21598.0,6138.0,,-2.0,-2.0,-1.0,-4.0,-1.0,-1.0,-2.0,3.0,2.0,3.0,1.0,-3.0,5.0,-2.0,60.42,56.02,61.9,50.0,1,United States,,,38.0,-97.0,326687501.0,USA,US,840.0,USD,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,,USA
250994,59a13ceb,2021-05-27,33231383.0,592942.0,,449792963.0,311292638.0,172352403.0,145570383.0,21056.0,6000.0,,-2.0,-2.0,-1.0,-4.0,-1.0,-1.0,-2.0,3.0,2.0,3.0,1.0,-3.0,5.0,-2.0,60.42,56.02,61.9,50.0,1,United States,,,38.0,-97.0,326687501.0,USA,US,840.0,USD,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,,USA
250995,59a13ceb,2021-05-28,33253407.0,593701.0,,450632498.0,312634870.0,172962731.0,146363892.0,20398.0,5778.0,,-2.0,-2.0,-1.0,-4.0,-1.0,-1.0,-2.0,3.0,2.0,3.0,1.0,-3.0,5.0,-2.0,60.42,56.02,61.9,50.0,1,United States,,,38.0,-97.0,326687501.0,USA,US,840.0,USD,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,,USA
250996,59a13ceb,2021-05-29,33264967.0,594040.0,,451212520.0,313406009.0,173347140.0,146787772.0,19474.0,5606.0,,-2.0,-2.0,-1.0,-4.0,-1.0,-1.0,-2.0,3.0,2.0,3.0,1.0,-3.0,5.0,-2.0,60.42,56.02,61.9,50.0,1,United States,,,38.0,-97.0,326687501.0,USA,US,840.0,USD,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,,USA
250997,59a13ceb,2021-05-30,33272409.0,594171.0,,451572853.0,313793224.0,173548922.0,146993999.0,19062.0,5525.0,,-2.0,-2.0,-1.0,-4.0,-1.0,-1.0,-2.0,3.0,2.0,3.0,1.0,-3.0,5.0,-2.0,60.42,56.02,61.9,50.0,1,United States,,,38.0,-97.0,326687501.0,USA,US,840.0,USD,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,,USA
250998,59a13ceb,2021-05-31,33277912.0,594321.0,,451889304.0,313997712.0,173638666.0,147117126.0,18678.0,5542.0,,-2.0,-2.0,-1.0,-4.0,-1.0,-1.0,-2.0,3.0,2.0,3.0,1.0,-3.0,5.0,-2.0,60.42,56.02,61.9,50.0,1,United States,,,38.0,-97.0,326687501.0,USA,US,840.0,USD,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,,USA
250999,59a13ceb,2021-06-01,33300482.0,594841.0,,452599084.0,315286109.0,174171253.0,147911971.0,18657.0,5489.0,,-2.0,-2.0,-1.0,-4.0,-1.0,-1.0,-2.0,3.0,2.0,3.0,1.0,-3.0,5.0,-2.0,60.42,56.02,61.9,50.0,1,United States,,,38.0,-97.0,326687501.0,USA,US,840.0,USD,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,,USA
251000,59a13ceb,2021-06-02,33317340.0,595435.0,,453709602.0,316412601.0,174667929.0,148600173.0,18083.0,5322.0,,-2.0,-2.0,-1.0,-4.0,-1.0,-1.0,-2.0,3.0,2.0,3.0,1.0,-3.0,5.0,-2.0,60.42,56.02,61.9,50.0,1,United States,,,38.0,-97.0,326687501.0,USA,US,840.0,USD,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,,USA
251001,59a13ceb,2021-06-03,33336811.0,596051.0,,454699160.0,317669791.0,175132902.0,149447706.0,17634.0,5175.0,,-2.0,-2.0,-1.0,-4.0,-1.0,-1.0,-2.0,3.0,2.0,3.0,1.0,-3.0,5.0,-2.0,60.42,56.02,61.9,50.0,1,United States,,,38.0,-97.0,326687501.0,USA,US,840.0,USD,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,,USA
251002,59a13ceb,2021-06-04,33312812.0,596190.0,,455569323.0,319086318.0,175635124.0,150419130.0,16970.0,4995.0,,-2.0,-2.0,-1.0,-4.0,-1.0,-1.0,-2.0,3.0,2.0,3.0,1.0,-3.0,5.0,-2.0,60.42,56.02,61.9,50.0,1,United States,,,38.0,-97.0,326687501.0,USA,US,840.0,USD,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,,USA
251003,59a13ceb,2021-06-05,33323260.0,596565.0,,456186392.0,320166407.0,175990760.0,151178104.0,16298.0,4768.0,,-2.0,-2.0,-1.0,-4.0,-1.0,-1.0,-2.0,3.0,2.0,3.0,1.0,-3.0,5.0,-2.0,60.42,56.02,61.9,50.0,1,United States,,,38.0,-97.0,326687501.0,USA,US,840.0,USD,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,,USA
251004,59a13ceb,2021-06-06,33329413.0,596817.0,,456555294.0,320687243.0,176162803.0,151544876.0,15987.0,4677.0,,-2.0,-2.0,-1.0,-4.0,-1.0,-1.0,-2.0,3.0,2.0,3.0,1.0,-3.0,5.0,-2.0,60.42,56.02,61.9,50.0,1,United States,,,38.0,-97.0,326687501.0,USA,US,840.0,USD,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,,USA
251005,59a13ceb,2021-06-07,33348865.0,597153.0,,457200153.0,321768537.0,176537052.0,152293833.0,15742.0,4685.0,,-2.0,-2.0,-1.0,-4.0,-1.0,-1.0,-2.0,3.0,2.0,3.0,1.0,-3.0,5.0,-2.0,60.42,56.02,61.9,50.0,1,United States,,,38.0,-97.0,326687501.0,USA,US,840.0,USD,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,,USA
251006,59a13ceb,2021-06-08,33363050.0,597528.0,,458086307.0,322951685.0,176941527.0,153119134.0,15630.0,4608.0,,-2.0,-2.0,-1.0,-4.0,-1.0,-1.0,-2.0,3.0,2.0,3.0,1.0,-3.0,5.0,-2.0,60.42,56.02,61.9,50.0,1,United States,,,38.0,-97.0,326687501.0,USA,US,840.0,USD,,ChIJCzYy5IS16lQRQrfeQ5K5Oxw,United States,US,,USA
